fixed_gene	fixed_enzyme	ground_relation
100036608	1.13.99.1	function(g100036608,ec_1_13_99_1)
100036608	2.3.2.-	function(g100036608,ec_2_3_2)
100036608	2.7.1.134	function(g100036608,ec_2_7_1_134)
100036608	2.7.1.140	function(g100036608,ec_2_7_1_140)
100036608	2.7.1.151	function(g100036608,ec_2_7_1_151)
100036608	2.7.1.153	function(g100036608,ec_2_7_1_153)
100036608	2.7.1.158	function(g100036608,ec_2_7_1_158)
100036608	2.7.1.159	function(g100036608,ec_2_7_1_159)
100036608	2.7.4.-	function(g100036608,ec_2_7_4)
100036608	2.7.4.21	function(g100036608,ec_2_7_4_21)
100036608	2.7.4.24	function(g100036608,ec_2_7_4_24)
100036608	3.1.3.-	function(g100036608,ec_3_1_3)
100036608	3.1.3.16	function(g100036608,ec_3_1_3_16)
100036608	3.1.3.36	function(g100036608,ec_3_1_3_36)
100036608	3.1.3.57	function(g100036608,ec_3_1_3_57)
100036608	3.1.3.66	function(g100036608,ec_3_1_3_66)
100036608	3.1.3.67	function(g100036608,ec_3_1_3_67)
100036608	3.1.3.86	function(g100036608,ec_3_1_3_86)
100036608	3.4.21.-	function(g100036608,ec_3_4_21)
100036608	3.6.1.52	function(g100036608,ec_3_6_1_52)
100036608	3.6.1.61	function(g100036608,ec_3_6_1_61)
100036608	5.5.1.4	function(g100036608,ec_5_5_1_4)
100037840	1.13.99.1	function(g100037840,ec_1_13_99_1)
100037840	2.3.2.-	function(g100037840,ec_2_3_2)
100037840	2.7.1.134	function(g100037840,ec_2_7_1_134)
100037840	2.7.1.140	function(g100037840,ec_2_7_1_140)
100037840	2.7.1.151	function(g100037840,ec_2_7_1_151)
100037840	2.7.1.153	function(g100037840,ec_2_7_1_153)
100037840	2.7.1.158	function(g100037840,ec_2_7_1_158)
100037840	2.7.1.159	function(g100037840,ec_2_7_1_159)
100037840	2.7.4.-	function(g100037840,ec_2_7_4)
100037840	2.7.4.21	function(g100037840,ec_2_7_4_21)
100037840	2.7.4.24	function(g100037840,ec_2_7_4_24)
100037840	3.1.3.-	function(g100037840,ec_3_1_3)
100037840	3.1.3.48	function(g100037840,ec_3_1_3_48)
100037840	3.1.3.62	function(g100037840,ec_3_1_3_62)
100037840	3.1.3.66	function(g100037840,ec_3_1_3_66)
100037840	3.1.3.67	function(g100037840,ec_3_1_3_67)
100037840	3.1.3.86	function(g100037840,ec_3_1_3_86)
100037840	3.4.21.-	function(g100037840,ec_3_4_21)
100037840	3.6.1.52	function(g100037840,ec_3_6_1_52)
100037840	3.6.1.61	function(g100037840,ec_3_6_1_61)
100037840	5.5.1.4	function(g100037840,ec_5_5_1_4)
100038240	1.13.99.1	function(g100038240,ec_1_13_99_1)
100038240	2.3.2.-	function(g100038240,ec_2_3_2)
100038240	2.7.1.151	function(g100038240,ec_2_7_1_151)
100038240	2.7.1.158	function(g100038240,ec_2_7_1_158)
100038240	2.7.4.-	function(g100038240,ec_2_7_4)
100038240	2.7.4.21	function(g100038240,ec_2_7_4_21)
100038240	2.7.4.24	function(g100038240,ec_2_7_4_24)
100038240	3.1.3.-	function(g100038240,ec_3_1_3)
100038240	3.1.3.16	function(g100038240,ec_3_1_3_16)
100038240	3.1.3.36	function(g100038240,ec_3_1_3_36)
100038240	3.1.3.48	function(g100038240,ec_3_1_3_48)
100038240	3.1.3.56	function(g100038240,ec_3_1_3_56)
100038240	3.1.3.57	function(g100038240,ec_3_1_3_57)
100038240	3.1.3.62	function(g100038240,ec_3_1_3_62)
100038240	3.1.3.64	function(g100038240,ec_3_1_3_64)
100038240	3.1.3.66	function(g100038240,ec_3_1_3_66)
100038240	3.1.3.67	function(g100038240,ec_3_1_3_67)
100038240	3.1.3.80	function(g100038240,ec_3_1_3_80)
100038240	3.1.3.86	function(g100038240,ec_3_1_3_86)
100038240	3.4.21.-	function(g100038240,ec_3_4_21)
100038240	3.6.1.52	function(g100038240,ec_3_6_1_52)
100038240	3.6.1.61	function(g100038240,ec_3_6_1_61)
100038240	5.5.1.4	function(g100038240,ec_5_5_1_4)
100125214	1.13.99.1	function(g100125214,ec_1_13_99_1)
100125214	2.3.2.-	function(g100125214,ec_2_3_2)
100125214	2.7.1.134	function(g100125214,ec_2_7_1_134)
100125214	2.7.1.140	function(g100125214,ec_2_7_1_140)
100125214	2.7.1.151	function(g100125214,ec_2_7_1_151)
100125214	2.7.1.153	function(g100125214,ec_2_7_1_153)
100125214	2.7.1.158	function(g100125214,ec_2_7_1_158)
100125214	2.7.1.159	function(g100125214,ec_2_7_1_159)
100125214	2.7.4.-	function(g100125214,ec_2_7_4)
100125214	2.7.4.21	function(g100125214,ec_2_7_4_21)
100125214	2.7.4.24	function(g100125214,ec_2_7_4_24)
100125214	3.1.3.-	function(g100125214,ec_3_1_3)
100125214	3.1.3.48	function(g100125214,ec_3_1_3_48)
100125214	3.1.3.57	function(g100125214,ec_3_1_3_57)
100125214	3.4.21.-	function(g100125214,ec_3_4_21)
100125214	3.6.1.52	function(g100125214,ec_3_6_1_52)
100125214	3.6.1.61	function(g100125214,ec_3_6_1_61)
100125214	5.5.1.4	function(g100125214,ec_5_5_1_4)
100127685	1.13.99.1	function(g100127685,ec_1_13_99_1)
100127685	2.3.2.-	function(g100127685,ec_2_3_2)
100127685	2.7.1.134	function(g100127685,ec_2_7_1_134)
100127685	2.7.1.140	function(g100127685,ec_2_7_1_140)
100127685	2.7.1.151	function(g100127685,ec_2_7_1_151)
100127685	2.7.1.153	function(g100127685,ec_2_7_1_153)
